,Comments_youtube,Label,COMMENTS_YOUTUBE,TOKENIZATION,STOP_REMOVAL,STEMMING
10,tetap belajar dari rumah menyelamatkan jutaan anak indonesia tetap protokol kesehatan ekonomi bangkit keseharian pulih rezeki lancar,positif,tetap belajar dari rumah menyelamatkan jutaan anak indonesia tetap protokol kesehatan ekonomi bangkit keseharian pulih rezeki lancar,"['tetap', 'belajar', 'dari', 'rumah', 'menyelamatkan', 'jutaan', 'anak', 'indonesia', 'tetap', 'protokol', 'kesehatan', 'ekonomi', 'bangkit', 'keseharian', 'pulih', 'rezeki', 'lancar']",belajar rumah menyelamatkan jutaan anak indonesia protokol kesehatan ekonomi bangkit keseharian pulih rezeki lancar,ajar rumah selamat juta anak indonesia protokol sehat ekonomi bangkit hari pulih rezeki lancar
11,1 org kena corona di sklh aja udah libur dulu sklhnya v,negatif,1 org kena corona di sklh aja udah libur dulu sklhnya v,"['1', 'org', 'kena', 'corona', 'di', 'sklh', 'aja', 'udah', 'libur', 'dulu', 'sklhnya', 'v']",1 org kena corona sklh aja udah libur sklhnya v,1 org kena corona sklh aja udah libur sklhnya v
12,sekolah tatap muka perlu di pertimbangkan kembali krn pademi covid 19 makin memuncak yg terpenting keselamatan dan kesehatan seluruh bangsa dan negara kita amin thanks ,negatif,sekolah tatap muka perlu di pertimbangkan kembali krn pademi covid 19 makin memuncak yg terpenting keselamatan dan kesehatan seluruh bangsa dan negara kita amin thanks ,"['sekolah', 'tatap', 'muka', 'perlu', 'di', 'pertimbangkan', 'kembali', 'krn', 'pademi', 'covid', '19', 'makin', 'memuncak', 'yg', 'terpenting', 'keselamatan', 'dan', 'kesehatan', 'seluruh', 'bangsa', 'dan', 'negara', 'kita', 'amin', 'thanks', '']",sekolah tatap muka pertimbangkan krn pademi covid 19 memuncak yg terpenting keselamatan kesehatan bangsa negara amin thanks ,sekolah tatap muka timbang krn pademi covid 19 puncak yg penting selamat sehat bangsa negara amin thanks
13,mantap 2021 katanya nongol virus baru yg lebih parah dan kita akan tatap muka kwkwkw mantap gw sih lebih milih hibernasi gk tau aja kalo di rumah gw lebih leluasa belajarnya daripada di sekolah kalo di sekolah mumet pala kalo di rumah kita ngatur jam istirahatnya sendiri wkwkwk,negatif,mantap 2021 katanya nongol virus baru yg lebih parah dan kita akan tatap muka kwkwkw mantap gw sih lebih milih hibernasi gk tau aja kalo di rumah gw lebih leluasa belajarnya daripada di sekolah kalo di sekolah mumet pala kalo di rumah kita ngatur jam istirahatnya sendiri wkwkwk,"['mantap', '2021', 'katanya', 'nongol', 'virus', 'baru', 'yg', 'lebih', 'parah', 'dan', 'kita', 'akan', 'tatap', 'muka', 'kwkwkw', 'mantap', 'gw', 'sih', 'lebih', 'milih', 'hibernasi', 'gk', 'tau', 'aja', 'kalo', 'di', 'rumah', 'gw', 'lebih', 'leluasa', 'belajarnya', 'daripada', 'di', 'sekolah', 'kalo', 'di', 'sekolah', 'mumet', 'pala', 'kalo', 'di', 'rumah', 'kita', 'ngatur', 'jam', 'istirahatnya', 'sendiri', 'wkwkwk']",mantap 2021 nongol virus yg parah tatap muka kwkwkw mantap gw sih milih hibernasi gk tau aja kalo rumah gw leluasa belajarnya sekolah kalo sekolah mumet pala kalo rumah ngatur jam istirahatnya wkwkwk,mantap 2021 nongol virus yg parah tatap muka kwkwkw mantap gw sih milih hibernasi gk tau aja kalo rumah gw leluasa ajar sekolah kalo sekolah mumet pala kalo rumah ngatur jam istirahat wkwkwk
15,atas dasar apa bos tatap muka udah ada jaminan gak apa udah bosen ngeprank soal corona ,negatif,atas dasar apa bos tatap muka udah ada jaminan gak apa udah bosen ngeprank soal corona ,"['atas', 'dasar', 'apa', 'bos', 'tatap', 'muka', 'udah', 'ada', 'jaminan', 'gak', 'apa', 'udah', 'bosen', 'ngeprank', 'soal', 'corona', '']",dasar bos tatap muka udah jaminan gak udah bosen ngeprank corona ,dasar bos tatap muka udah jamin gak udah bosen ngeprank corona
16,ortu ku gwe paksa mah jangan bolehkan nanti kumpul di sekolah ,negatif,ortu ku gwe paksa mah jangan bolehkan nanti kumpul di sekolah ,"['ortu', 'ku', 'gwe', 'paksa', 'mah', 'jangan', 'bolehkan', 'nanti', 'kumpul', 'di', 'sekolah', '']",ortu ku gwe paksa mah bolehkan kumpul sekolah ,ortu ku gwe paksa mah boleh kumpul sekolah
18,semoga vaksin virus jahat ini segera di dapatkan agar bisa beraktifitas seperti semula amin virus ini biaya pengobatannya mahal banget sampe hampir 200 juta rupiah ,positif,semoga vaksin virus jahat ini segera di dapatkan agar bisa beraktifitas seperti semula amin virus ini biaya pengobatannya mahal banget sampe hampir 200 juta rupiah ,"['semoga', 'vaksin', 'virus', 'jahat', 'ini', 'segera', 'di', 'dapatkan', 'agar', 'bisa', 'beraktifitas', 'seperti', 'semula', 'amin', 'virus', 'ini', 'biaya', 'pengobatannya', 'mahal', 'banget', 'sampe', 'hampir', '200', 'juta', 'rupiah', '']",semoga vaksin virus jahat dapatkan beraktifitas amin virus biaya pengobatannya mahal banget sampe 200 juta rupiah ,moga vaksin virus jahat dapat beraktifitas amin virus biaya obat mahal banget sampe 200 juta rupiah
19,mending sekolah tapi jangan sampe sore lah jam 1 pulang v ga enak sampe sore istirahat ga cukup sampe dirumahpun tidur ga belajar,positif,mending sekolah tapi jangan sampe sore lah jam 1 pulang v ga enak sampe sore istirahat ga cukup sampe dirumahpun tidur ga belajar,"['mending', 'sekolah', 'tapi', 'jangan', 'sampe', 'sore', 'lah', 'jam', '1', 'pulang', 'v', 'ga', 'enak', 'sampe', 'sore', 'istirahat', 'ga', 'cukup', 'sampe', 'dirumahpun', 'tidur', 'ga', 'belajar']",mending sekolah sampe sore jam 1 pulang v ga enak sampe sore istirahat ga sampe dirumahpun tidur ga belajar,mending sekolah sampe sore jam 1 pulang v ga enak sampe sore istirahat ga sampe rumah tidur ga ajar
21,pak nadiem makarim sekolah akan di buka pada tahun 2021 sebagian murid atau banyak be like ayo sekolah atau di rumah aja enak ,negatif,pak nadiem makarim sekolah akan di buka pada tahun 2021 sebagian murid atau banyak be like ayo sekolah atau di rumah aja enak ,"['pak', 'nadiem', 'makarim', 'sekolah', 'akan', 'di', 'buka', 'pada', 'tahun', '2021', 'sebagian', 'murid', 'atau', 'banyak', 'be', 'like', 'ayo', 'sekolah', 'atau', 'di', 'rumah', 'aja', 'enak', '']",nadiem makarim sekolah buka 2021 murid be like ayo sekolah rumah aja enak ,nadiem makarim sekolah buka 2021 murid be like ayo sekolah rumah aja enak
22,baru banget kerja belom ada sebulan nih masa udah masuk kola mikir nya daripada bengong di rumah mending nyari sampingan otak nambah kaga bayaran kudu lancar hadeh,positif,baru banget kerja belom ada sebulan nih masa udah masuk kola mikir nya daripada bengong di rumah mending nyari sampingan otak nambah kaga bayaran kudu lancar hadeh,"['baru', 'banget', 'kerja', 'belom', 'ada', 'sebulan', 'nih', 'masa', 'udah', 'masuk', 'kola', 'mikir', 'nya', 'daripada', 'bengong', 'di', 'rumah', 'mending', 'nyari', 'sampingan', 'otak', 'nambah', 'kaga', 'bayaran', 'kudu', 'lancar', 'hadeh']",banget kerja belom sebulan nih udah masuk kola mikir nya bengong rumah mending nyari sampingan otak nambah kaga bayaran kudu lancar hadeh,banget kerja bom bulan nih udah masuk kola mikir nya bengong rumah mending nyari samping otak nambah kaga bayar kudu lancar hadeh
23,pasar mol dibuka ya sekolah jg buka atuh pke masker sj jstru itu harafan orang tua,positif,pasar mol dibuka ya sekolah jg buka atuh pke masker sj jstru itu harafan orang tua,"['pasar', 'mol', 'dibuka', 'ya', 'sekolah', 'jg', 'buka', 'atuh', 'pke', 'masker', 'sj', 'jstru', 'itu', 'harafan', 'orang', 'tua']",pasar mol dibuka ya sekolah jg buka atuh pke masker sj jstru harafan orang tua,pasar mol buka ya sekolah jg buka atuh pke masker sj jstru harafan orang tua
24,sebenernya pengen banget masuk sekolah ketemu temen2 baru tapi masalahnya itu bbrapa pelajaran ada yg kurang paham tkut nya pas masuk blank apalagi ips ama pkn ,negatif,sebenernya pengen banget masuk sekolah ketemu temen2 baru tapi masalahnya itu bbrapa pelajaran ada yg kurang paham tkut nya pas masuk blank apalagi ips ama pkn ,"['sebenernya', 'pengen', 'banget', 'masuk', 'sekolah', 'ketemu', 'temen2', 'baru', 'tapi', 'masalahnya', 'itu', 'bbrapa', 'pelajaran', 'ada', 'yg', 'kurang', 'paham', 'tkut', 'nya', 'pas', 'masuk', 'blank', 'apalagi', 'ips', 'ama', 'pkn', '']",sebenernya pengen banget masuk sekolah ketemu temen2 bbrapa pelajaran yg paham tkut nya pas masuk blank ips ama pkn ,sebenernya ken banget masuk sekolah ketemu temen2 bbrapa ajar yg paham tkut nya pas masuk blank ips ama pkn
25,mantap pak sekolah gak dibuka pun remaja yang masih di bangku sekolah juga berkeliaran di tongkrongan sekolah harus jadi sebaik pemberi pendidikan protokol kesehatan ke depannya dan bagi orang tua yang tidak memberi izin ke anaknya itu kan memang diperbolehkan ,negatif,mantap pak sekolah gak dibuka pun remaja yang masih di bangku sekolah juga berkeliaran di tongkrongan sekolah harus jadi sebaik pemberi pendidikan protokol kesehatan ke depannya dan bagi orang tua yang tidak memberi izin ke anaknya itu kan memang diperbolehkan ,"['mantap', 'pak', 'sekolah', 'gak', 'dibuka', 'pun', 'remaja', 'yang', 'masih', 'di', 'bangku', 'sekolah', 'juga', 'berkeliaran', 'di', 'tongkrongan', 'sekolah', 'harus', 'jadi', 'sebaik', 'pemberi', 'pendidikan', 'protokol', 'kesehatan', 'ke', 'depannya', 'dan', 'bagi', 'orang', 'tua', 'yang', 'tidak', 'memberi', 'izin', 'ke', 'anaknya', 'itu', 'kan', 'memang', 'diperbolehkan', '']",mantap sekolah gak dibuka remaja bangku sekolah berkeliaran tongkrongan sekolah pemberi pendidikan protokol kesehatan depannya orang tua izin anaknya diperbolehkan ,mantap sekolah gak buka remaja bangku sekolah liar tongkrong sekolah beri didik protokol sehat depan orang tua izin anak boleh
26,mantap slurr,positif,mantap slurr,"['mantap', 'slurr']",mantap slurr,mantap slurr
27,covid terus meningkat bagaimana kalo sekolah di buka terus pelajarnya positif semua wkwk,negatif,covid terus meningkat bagaimana kalo sekolah di buka terus pelajarnya positif semua wkwk,"['covid', 'terus', 'meningkat', 'bagaimana', 'kalo', 'sekolah', 'di', 'buka', 'terus', 'pelajarnya', 'positif', 'semua', 'wkwk']",covid meningkat kalo sekolah buka pelajarnya positif wkwk,covid tingkat kalo sekolah buka ajar positif wkwk
28,siapa yg buku nya jadi satu terus bingung pas mau dikumpulin kertas tugas apa ilang itu yg membuat pusing,negatif,siapa yg buku nya jadi satu terus bingung pas mau dikumpulin kertas tugas apa ilang itu yg membuat pusing,"['siapa', 'yg', 'buku', 'nya', 'jadi', 'satu', 'terus', 'bingung', 'pas', 'mau', 'dikumpulin', 'kertas', 'tugas', 'apa', 'ilang', 'itu', 'yg', 'membuat', 'pusing']",yg buku nya bingung pas dikumpulin kertas tugas ilang yg pusing,yg buku nya bingung pas dikumpulin kertas tugas ilang yg pusing
29,kampus juga dong di buka pak sebel kalau praktikumnya juga online tambah menambah sakit ,positif,kampus juga dong di buka pak sebel kalau praktikumnya juga online tambah menambah sakit ,"['kampus', 'juga', 'dong', 'di', 'buka', 'pak', 'sebel', 'kalau', 'praktikumnya', 'juga', 'online', 'tambah', 'menambah', 'sakit', '']",kampus buka sebel praktikumnya online menambah sakit ,kampus buka sebel praktikum online tambah sakit
30,ok sekolah januari masuk tpi pas ada kabar satu sekolah positif corona lgsung tutup lagi tunggu sampe bener2 aman dlu aja napa sih korea yg tadinya udh buka sekolah malah kena gelombang covid ke 2 alhasil sekolah ditutup lagi jgn gegabah klo lagi kyk gini karna menurut gw kesehatan nomor 1 pendidikan nomor 2,negatif,ok sekolah januari masuk tpi pas ada kabar satu sekolah positif corona lgsung tutup lagi tunggu sampe bener2 aman dlu aja napa sih korea yg tadinya udh buka sekolah malah kena gelombang covid ke 2 alhasil sekolah ditutup lagi jgn gegabah klo lagi kyk gini karna menurut gw kesehatan nomor 1 pendidikan nomor 2,"['ok', 'sekolah', 'januari', 'masuk', 'tpi', 'pas', 'ada', 'kabar', 'satu', 'sekolah', 'positif', 'corona', 'lgsung', 'tutup', 'lagi', 'tunggu', 'sampe', 'bener2', 'aman', 'dlu', 'aja', 'napa', 'sih', 'korea', 'yg', 'tadinya', 'udh', 'buka', 'sekolah', 'malah', 'kena', 'gelombang', 'covid', 'ke', '2', 'alhasil', 'sekolah', 'ditutup', 'lagi', 'jgn', 'gegabah', 'klo', 'lagi', 'kyk', 'gini', 'karna', 'menurut', 'gw', 'kesehatan', 'nomor', '1', 'pendidikan', 'nomor', '2']",ok sekolah januari masuk tpi pas kabar sekolah positif corona lgsung tutup tunggu sampe bener2 aman dlu aja napa sih korea yg udh buka sekolah kena gelombang covid 2 alhasil sekolah ditutup jgn gegabah klo kyk gini karna gw kesehatan nomor 1 pendidikan nomor 2,ok sekolah januari masuk tpi pas kabar sekolah positif corona lgsung tutup tunggu sampe bener2 aman dlu aja napa sih korea yg udh buka sekolah kena gelombang covid 2 alhasil sekolah tutup jgn gegabah klo kyk gin karna gw sehat nomor 1 didik nomor 2
31,setuju borrr,positif,setuju borrr,"['setuju', 'borrr']",setuju borrr,tuju borrr
32,setuju,positif,setuju,['setuju'],setuju,tuju
33,hidup tatap muka,positif,hidup tatap muka,"['hidup', 'tatap', 'muka']",hidup tatap muka,hidup tatap muka
34,up,positif,up,['up'],up,up
35,up,positif,up,['up'],up,up
36,setuju mantap,positif,setuju mantap,"['setuju', 'mantap']",setuju mantap,tuju mantap
37,akibat pembelajaran daring banyak murid kls 1 dan kls 2 sd tdk bisa membaca dan menulis buta huruf sebab kls 1 dan kls 2 sd itu agar bisa membaca dan menulis harus di ajar secara tatap muka ptm ,positif,akibat pembelajaran daring banyak murid kls 1 dan kls 2 sd tdk bisa membaca dan menulis buta huruf sebab kls 1 dan kls 2 sd itu agar bisa membaca dan menulis harus di ajar secara tatap muka ptm ,"['akibat', 'pembelajaran', 'daring', 'banyak', 'murid', 'kls', '1', 'dan', 'kls', '2', 'sd', 'tdk', 'bisa', 'membaca', 'dan', 'menulis', 'buta', 'huruf', 'sebab', 'kls', '1', 'dan', 'kls', '2', 'sd', 'itu', 'agar', 'bisa', 'membaca', 'dan', 'menulis', 'harus', 'di', 'ajar', 'secara', 'tatap', 'muka', 'ptm', '']",akibat pembelajaran daring murid kls 1 kls 2 sd tdk membaca menulis buta huruf kls 1 kls 2 sd membaca menulis ajar tatap muka ptm ,akibat ajar daring murid kls 1 kls 2 sd tdk baca tulis buta huruf kls 1 kls 2 sd baca tulis ajar tatap muka ptm
39,yeay makasih pak nadiem,positif,yeay makasih pak nadiem,"['yeay', 'makasih', 'pak', 'nadiem']",yeay makasih nadiem,yeay makasih nadiem
40,alhamdulillah ya alhmdulilah,positif,alhamdulillah ya alhmdulilah,"['alhamdulillah', 'ya', 'alhmdulilah']",alhamdulillah ya alhmdulilah,alhamdulillah ya alhmdulilah
42,alhamdulilah semoga anak2 bisa bersekolah seperti biass,positif,alhamdulilah semoga anak2 bisa bersekolah seperti biass,"['alhamdulilah', 'semoga', 'anak2', 'bisa', 'bersekolah', 'seperti', 'biass']",alhamdulilah semoga anak2 bersekolah biass,alhamdulilah moga anak2 sekolah biass
43,gitu dong biar grab jadi gacor lagi,positif,gitu dong biar grab jadi gacor lagi,"['gitu', 'dong', 'biar', 'grab', 'jadi', 'gacor', 'lagi']",gitu biar grab gacor,gitu biar grab gacor
44,sekolah madrasah buka dan tak pernah libur panjang siswanya juga sehat sehat aja,positif,sekolah madrasah buka dan tak pernah libur panjang siswanya juga sehat sehat aja,"['sekolah', 'madrasah', 'buka', 'dan', 'tak', 'pernah', 'libur', 'panjang', 'siswanya', 'juga', 'sehat', 'sehat', 'aja']",sekolah madrasah buka libur siswanya sehat sehat aja,sekolah madrasah buka libur siswa sehat sehat aja
46,pak kalau positif masih boleh ikut tatap muka pak saya takut nnti absennya kacau ,negatif,pak kalau positif masih boleh ikut tatap muka pak saya takut nnti absennya kacau ,"['pak', 'kalau', 'positif', 'masih', 'boleh', 'ikut', 'tatap', 'muka', 'pak', 'saya', 'takut', 'nnti', 'absennya', 'kacau', '']",positif tatap muka takut nnti absennya kacau ,positif tatap muka takut nnti absen kacau
47,pelit banget orangtua kalo dirumah,positif,pelit banget orangtua kalo dirumah,"['pelit', 'banget', 'orangtua', 'kalo', 'dirumah']",pelit banget orangtua kalo dirumah,pelit banget orangtua kalo rumah
48,klu blm bisa tatap muka ya jgn buka sklhnya belajar lewat online tuh g efektif buang buang uang hanya untuk bayar spp ,positif,klu blm bisa tatap muka ya jgn buka sklhnya belajar lewat online tuh g efektif buang buang uang hanya untuk bayar spp ,"['klu', 'blm', 'bisa', 'tatap', 'muka', 'ya', 'jgn', 'buka', 'sklhnya', 'belajar', 'lewat', 'online', 'tuh', 'g', 'efektif', 'buang', 'buang', 'uang', 'hanya', 'untuk', 'bayar', 'spp', '']",klu blm tatap muka ya jgn buka sklhnya belajar online tuh g efektif buang buang uang bayar spp ,klu blm tatap muka ya jgn buka sklhnya ajar online tuh g efektif buang buang uang bayar spp
51,sumpah demi apapun enggak siap banget buat masuk sekolah faktor utama karna udah kelas tiga gimana ya karena setengah semester udah secara online kalo masuk nanti jadi setengah bakalan pusing banget buat anak yang lagi kelas 3 masuk masuk itu bakalan praktek dan pengulangan pembelajaran dari semester satu sedangkan semester 1 itu secara online saya ga paham banget aduh susah di jelasinnya yang jelas mending sampe lulus offline karena biar seimbang huwa ga kuat banget kalo setengah mending karna udah setengah online sampe lulus online biar ga pusing,negatif,sumpah demi apapun enggak siap banget buat masuk sekolah faktor utama karna udah kelas tiga gimana ya karena setengah semester udah secara online kalo masuk nanti jadi setengah bakalan pusing banget buat anak yang lagi kelas 3 masuk masuk itu bakalan praktek dan pengulangan pembelajaran dari semester satu sedangkan semester 1 itu secara online saya ga paham banget aduh susah di jelasinnya yang jelas mending sampe lulus offline karena biar seimbang huwa ga kuat banget kalo setengah mending karna udah setengah online sampe lulus online biar ga pusing,"['sumpah', 'demi', 'apapun', 'enggak', 'siap', 'banget', 'buat', 'masuk', 'sekolah', 'faktor', 'utama', 'karna', 'udah', 'kelas', 'tiga', 'gimana', 'ya', 'karena', 'setengah', 'semester', 'udah', 'secara', 'online', 'kalo', 'masuk', 'nanti', 'jadi', 'setengah', 'bakalan', 'pusing', 'banget', 'buat', 'anak', 'yang', 'lagi', 'kelas', '3', 'masuk', 'masuk', 'itu', 'bakalan', 'praktek', 'dan', 'pengulangan', 'pembelajaran', 'dari', 'semester', 'satu', 'sedangkan', 'semester', '1', 'itu', 'secara', 'online', 'saya', 'ga', 'paham', 'banget', 'aduh', 'susah', 'di', 'jelasinnya', 'yang', 'jelas', 'mending', 'sampe', 'lulus', 'offline', 'karena', 'biar', 'seimbang', 'huwa', 'ga', 'kuat', 'banget', 'kalo', 'setengah', 'mending', 'karna', 'udah', 'setengah', 'online', 'sampe', 'lulus', 'online', 'biar', 'ga', 'pusing']",sumpah apapun banget masuk sekolah faktor utama karna udah kelas gimana ya semester udah online kalo masuk pusing banget anak kelas 3 masuk masuk praktek pengulangan pembelajaran semester semester 1 online ga paham banget aduh susah jelasinnya mending sampe lulus offline biar seimbang huwa ga kuat banget kalo mending karna udah online sampe lulus online biar ga pusing,sumpah apa banget masuk sekolah faktor utama karna udah kelas gimana ya semester udah online kalo masuk pusing banget anak kelas 3 masuk masuk praktek ulang ajar semester semester 1 online ga paham banget aduh susah jelasinnya mending sampe lulus offline biar imbang huwa ga kuat banget kalo mending karna udah online sampe lulus online biar ga pusing
53,semoga sekolah itu di buka kembali,positif,semoga sekolah itu di buka kembali,"['semoga', 'sekolah', 'itu', 'di', 'buka', 'kembali']",semoga sekolah buka,moga sekolah buka
58,januari februari harus kuliah offline,positif,januari februari harus kuliah offline,"['januari', 'februari', 'harus', 'kuliah', 'offline']",januari februari kuliah offline,januari februari kuliah offline
59,corona makin banyak di dki jakarta jadi mendingan tunda saja karna bahaya terhadap anak anak dan lagi pula dekat dengan libur panjang kan bahaya banget tolong perhatian nya pak nadiem makariem ,negatif,corona makin banyak di dki jakarta jadi mendingan tunda saja karna bahaya terhadap anak anak dan lagi pula dekat dengan libur panjang kan bahaya banget tolong perhatian nya pak nadiem makariem ,"['corona', 'makin', 'banyak', 'di', 'dki', 'jakarta', 'jadi', 'mendingan', 'tunda', 'saja', 'karna', 'bahaya', 'terhadap', 'anak', 'anak', 'dan', 'lagi', 'pula', 'dekat', 'dengan', 'libur', 'panjang', 'kan', 'bahaya', 'banget', 'tolong', 'perhatian', 'nya', 'pak', 'nadiem', 'makariem', '']",corona dki jakarta mendingan tunda karna bahaya anak anak libur bahaya banget tolong perhatian nya nadiem makariem ,corona dki jakarta mending tunda karna bahaya anak anak libur bahaya banget tolong perhati nya nadiem makariem
60,alhamdulillah,positif,alhamdulillah,['alhamdulillah'],alhamdulillah,alhamdulillah
